WordOrPhrase,Category
now,TemporalFocus
currently,TemporalFocus
immediate,TemporalFocus
instantaneous,TemporalFocus
present,TemporalFocus
real-time,TemporalFocus
moment,TemporalFocus
instant,TemporalFocus
interval,TemporalFocus
phase,TemporalFocus
period,TemporalFocus
cycle,TemporalFocus
duration,TemporalFocus
continuous,TemporalFocus
ongoing,TemporalFocus
emerging,TemporalFocus
evolving,TemporalFocus
unfolding,TemporalFocus
progressing,TemporalFocus
persistent,TemporalFocus
shift,TemporalFocus
displacement,TemporalFocus
transition,TemporalFocus
progression,TemporalFocus
flux,TemporalFocus
recent,TemporalFocus
simultaneous,TemporalFocus
synchronous,TemporalFocus
successive,TemporalFocus
sequential,TemporalFocus
consecutive,TemporalFocus
temporal,TemporalFocus
chronal,TemporalFocus
chronological,TemporalFocus
simultaneity,TemporalFocus
continuity,TemporalFocus
timing,TemporalFocus
move,MovementDynamics
moves,MovementDynamics
moving,MovementDynamics
shifts,MovementDynamics
displaces,MovementDynamics
displacing,MovementDynamics
migrates,MovementDynamics
travels,MovementDynamics
propagates,MovementDynamics
